scenario_id,sensor_mode,rmse_full_mean,rmse_full_std,rmse_steady_mean,rmse_steady_std,rmse_steady_xy_mean,rmse_steady_xy_std,median_error_steady_mean,mean_nees_steady_mean,n_repetitions,divergence_rate_pct,empirical_divergence_rate_pct,distance_scale,noise_scale
1,baseline_geometric,8.23650438656259,16.001564194734133,8.23650438656259,16.001564194734133,8.092068876659816,15.765845403752003,0.18596921740880057,,20,0.0,0.0,1.0,2.0
1,camera_only,4.118827120553694,10.799248957199175,0.14226823993379753,0.08166843457017939,0.12504252930946227,0.07612183162214681,0.08863320097967418,3.7114372930995336,20,0.0,10.0,1.0,2.0
1,fusion,1.589033218080582,2.0536437789886834,0.37070166257350007,0.018754124936711712,0.3380304405433042,0.01429002834115645,0.29550612414565025,60.508768353495405,20,0.0,0.0,1.0,2.0
1,rf_only,636205917.1417153,371197586.8143424,636205917.1417153,371197586.8143424,636205917.1417153,371197586.8143424,532746467.1650422,1134978651410345.5,20,100.0,100.0,1.0,2.0
1,track_to_track_ci,4.996234208888399,5.024140115218673,1.644410533154471,4.86149876023895,1.5000293045362423,4.567988035698051,0.507180585873862,592013.9472034486,20,5.000000000000004,0.0,1.0,2.0
1,baseline_geometric,0.07133337885412086,0.0016435987612755487,0.07133337885412086,0.0016435987612755487,0.061615850037768774,0.0013647149215553558,0.05727502635354984,,20,0.0,0.0,1.5,0.5
1,camera_only,0.043282906066118704,0.0019472834896696373,0.04304668055896946,0.0019609767650360516,0.03761319609914152,0.002114719572895786,0.03506219958694727,2.767545872692938,20,0.0,0.0,1.5,0.5
1,fusion,0.1248202630669667,0.002861787952806123,0.12506243656814955,0.00285619933681398,0.11740066575552258,0.002882241294582031,0.10269566343329724,36.647184455827905,20,0.0,0.0,1.5,0.5
1,rf_only,6.9395277818377945,0.024492944880325926,6.9395277818377945,0.024492944880325926,2.1907690454856255,0.0773143125226551,6.178833469554627,97.6218126480384,20,100.0,0.0,1.5,0.5
1,track_to_track_ci,0.20360035058469808,0.016596354342373595,0.2043924952785882,0.016412767867952115,0.18814337317997615,0.016792818224371987,0.19968727284560847,39.391379956552086,20,0.0,0.0,1.5,0.5
1,baseline_geometric,0.14267154103441373,0.003288283596616369,0.14267154103441373,0.003288283596616369,0.12323663774682707,0.002729609538156839,0.11454156401474822,,20,0.0,0.0,1.5,1.0
1,camera_only,0.07828099992470591,0.0038945952309357573,0.07828099992470591,0.0038945952309357573,0.06904052419811442,0.004213873414501769,0.06247933448737385,2.958145625466012,20,0.0,0.0,1.5,1.0
