scenario_id,sensor_mode,rmse_full_mean,rmse_full_std,rmse_steady_mean,rmse_steady_std,rmse_steady_xy_mean,rmse_steady_xy_std,median_error_steady_mean,mean_nees_steady_mean,n_repetitions,divergence_rate_pct,empirical_divergence_rate_pct,distance_scale
2,camera_only,10.829751218461647,,0.06346987862914195,,0.054491523062694856,,0.04924115464473096,3.520902892658486,1,0.0,0.0,1.5
2,fusion,0.9166801984413836,,0.26882819690262844,,0.2527343957904418,,0.19445278963886486,54.69988246299652,1,0.0,0.0,1.5
2,rf_only,7.4143055042282064,,7.4143055042282064,,3.4087325738281145,,6.188896951318647,114.66751751733514,1,100.0,0.0,1.5
2,track_to_track_ci,0.33897369364129337,,0.34046361783044665,,0.3026780689140203,,0.29899376367411795,46.091856561000164,1,0.0,0.0,1.5
2,baseline_geometric,0.15682900272907288,,0.15682900272907288,,0.1334934565830839,,0.11274528303265219,,1,0.0,0.0,2.0
2,camera_only,14.198051120711407,,0.08249712299583567,,0.07553437760562175,,0.05849941703448243,3.2512121063626904,1,0.0,0.0,2.0
2,fusion,1.5145844686825995,,0.20476067296567502,,0.19656260328394723,,0.18868630057610244,50.29603099809362,1,0.0,0.0,2.0
2,rf_only,8.181298045162057,,8.181298045162057,,4.856044663484775,,6.599111142270897,107.79339293356672,1,100.0,0.0,2.0
2,track_to_track_ci,0.3768947593647056,,0.3778115907215835,,0.3428889959618265,,0.331386061661606,45.44914050452822,1,0.0,0.0,2.0
3,baseline_geometric,4.4992372470130375,,4.4992372470130375,,4.241576521958149,,0.12762708918389937,,1,0.0,0.0,0.5
3,camera_only,1.479583202864992,,0.4381681071786093,,0.41921197617299233,,0.0464769008053472,3.0557229911728077,1,0.0,0.0,0.5
3,fusion,0.401858559916789,,0.24882002250761312,,0.23277344393668822,,0.1294609056383511,39.63922282803875,1,0.0,0.0,0.5
3,rf_only,43301082.09822079,,43301082.09822079,,43301082.09822029,,37282511.13641225,3860542687348.5425,1,100.0,100.0,0.5
3,track_to_track_ci,2.6004703049803735,,2.094432827285948,,1.214386456455871,,0.2626635067732993,109.59762908513754,1,0.0,0.0,0.5
3,baseline_geometric,3.448046920790865,,3.448046920790865,,3.3161439681649507,,0.09633645580703294,,1,0.0,0.0,0.75
3,camera_only,1.621632975330059,,0.2442814288350368,,0.23423778442206733,,0.04739524691026582,3.920169648632892,1,0.0,0.0,0.75
3,fusion,0.4625010551023552,,0.23970370114488,,0.22672841687562173,,0.14497873321028248,42.718678063196556,1,0.0,0.0,0.75
3,rf_only,6.703909749510221,,6.703909749510221,,1.2609273479650622,,6.072598328328115,82.81508537238302,1,100.0,0.0,0.75
3,track_to_track_ci,2.2944433660314396,,0.7748030891776888,,0.6514466342143467,,0.31357275572079435,49.14849966348752,1,0.0,0.0,0.75
3,baseline_geometric,2.3100132779008224,,2.3100132779008224,,2.256852584651991,,0.09288614325418283,,1,0.0,0.0,1.0
3,camera_only,1.7951959163774933,,0.07583209595096373,,0.06494499619361314,,0.0508733448791349,3.8209941336827837,1,0.0,0.0,1.0
3,fusion,0.6014993928421518,,0.1688989424153404,,0.15299094017816162,,0.1578542068836351,43.666717620492385,1,0.0,0.0,1.0
3,rf_only,6.773092488648849,,6.773092488648849,,1.5881793755649973,,6.066970884114913,86.2430877513566,1,100.0,0.0,1.0
3,track_to_track_ci,2.559431435484383,,0.27209649225717114,,0.23416504595499646,,0.2597318857532004,43.21121767916595,1,0.0,0.0,1.0
3,baseline_geometric,0.13607108169144863,,0.13607108169144863,,0.1132465728433726,,0.09509478018905607,,1,0.0,0.0,1.25
3,camera_only,0.0676994385940334,,0.06722600695772633,,0.05613677194557525,,0.05229284999880586,3.2395945779108968,1,0.0,0.0,1.25
3,fusion,0.3904603746022671,,0.1889820092652589,,0.1728996362540312,,0.17002701885321753,46.58840726404363,1,0.0,0.0,1.25
3,rf_only,6.895921558613123,,6.895921558613123,,2.0496990089278877,,6.078163260426384,87.53865057161201,1,100.0,0.0,1.25
3,track_to_track_ci,0.8360599939801229,,0.3015154747811079,,0.26762073461306,,0.2694705067190406,43.64642714795292,1,0.0,0.0,1.25
