scenario_id,sensor_mode,repetition,covariance_stabilized,t_conv_s,empirically_diverged,t_empirical_divergence_s,mean_nees_steady,rmse_full_m,median_error_full_m,p95_error_full_m,rmse_full_xy_m,rmse_steady_m,median_error_steady_m,p95_error_steady_m,rmse_steady_xy_m,n_grid_points,n_valid_points_steady
2,baseline_geometric,24,True,,False,,,2.5560211043719847,0.0855254754101891,5.508339974652792,2.4824842732176498,2.5560211043719847,0.0855254754101891,5.508339974652792,2.4824842732176498,401,401
2,fusion,25,True,2.1666666666666665,False,,43.70193282378509,0.324108761375825,0.1236558766925639,0.3865580206010151,0.3100808196129944,0.2152704652287682,0.1221322709678173,0.3543327638150182,0.2006942720954883,401,357
2,rf_only,25,False,,False,,116.97786724528888,6.901675974074088,6.243767937141349,10.3073985831408,2.06897642339172,6.901675974074088,6.243767937141349,10.3073985831408,2.06897642339172,401,381
2,camera_only,25,True,2.0666666666666664,False,,2.817253584104631,1.6600923118190876,0.0450102216731545,0.3736514160185742,1.6114832726474284,0.0677067263169048,0.0422071159633895,0.1545592720457056,0.0589573265490738,401,359
2,track_to_track_ci,25,True,3.2,False,,43.540909108074615,1.1356698335200035,0.2859363754623964,2.9491763702020424,1.0944527176396257,0.2907153409319314,0.2717493879568619,0.4234850647501999,0.2548710617511229,401,337
2,baseline_geometric,25,True,,False,,,1.964094252498944,0.0807627414563576,5.40085052480811,1.9066850533875803,1.964094252498944,0.0807627414563576,5.40085052480811,1.9066850533875803,401,401
2,fusion,26,True,2.1666666666666665,False,,44.87274881141989,0.478651179290944,0.1238748057320287,0.5759188588680079,0.462398832887671,0.2540243793016114,0.1201739538962548,0.4628055006627501,0.2424235657191696,401,357
2,rf_only,26,False,,False,,113.07736253154032,6.895126461988297,6.144208977855003,10.308290329064809,2.0470224915194,6.895126461988297,6.144208977855003,10.308290329064809,2.0470224915194,401,381
2,camera_only,26,True,2.0666666666666664,False,,3.0001237511893923,1.2477569756300615,0.0484839511944094,1.5828830870319766,1.2109302534235329,0.1371152961930146,0.0462506076183579,0.2601734586185118,0.1321544295615142,401,359
2,track_to_track_ci,26,True,3.2,False,,46.52142913453503,1.7445083583304106,0.2957862877449868,3.3198468002785373,1.6869580172087482,0.2929003505491425,0.2842851502033149,0.416147164719015,0.256194754218732,401,337
2,baseline_geometric,26,True,,False,,,2.6594004860760867,0.0841426003234783,6.435699700643622,2.582000978623626,2.6594004860760867,0.0841426003234783,6.435699700643622,2.582000978623626,401,401
2,fusion,27,True,2.2666666666666666,False,,46.65259018809843,0.5587218417963872,0.2000007106751496,0.8808572546954035,0.537469170286538,0.2563503462818357,0.1550356614871675,0.4755633996678016,0.2417544075396201,401,355
2,rf_only,27,False,,False,,108.70119003776186,6.883808523346085,6.203315096525101,10.312857841918513,2.008569482558611,6.883808523346085,6.203315096525101,10.312857841918513,2.008569482558611,401,381
2,camera_only,27,True,2.0666666666666664,False,,2.732205093985581,1.1889500904017274,0.0432403029771976,0.9674913026097608,1.151565972737778,0.2048283545192362,0.040864185712706,0.5038346560291328,0.1976916370994563,401,359
2,track_to_track_ci,27,True,3.2,False,,43.90232730628994,1.5473478134053666,0.2946552659758739,3.871797256039224,1.493258050328336,0.3003847517101616,0.2737630727926398,0.4192928793808442,0.2668020742903909,401,337
2,baseline_geometric,27,True,,False,,,2.208965623288468,0.0780220602951478,5.478945052682883,2.1413651379536844,2.208965623288468,0.0780220602951478,5.478945052682883,2.1413651379536844,401,401
2,fusion,28,True,2.433333333333333,False,,44.24578979054458,0.5250387824162804,0.1867177205571646,0.4437170680608621,0.5059075591814747,0.2313120073438604,0.1310492844023856,0.4158260363191082,0.2144851184594431,401,352
2,rf_only,28,False,,False,,102.0352144541699,6.862897146137661,6.211688192946082,10.26296884997609,1.9356883498813968,6.862897146137661,6.211688192946082,10.26296884997609,1.9356883498813968,401,381
2,camera_only,28,True,2.2333333333333334,False,,2.669443485232536,1.7245953516637338,0.0417047203381157,5.187793789506825,1.6737944815883017,0.0941062970955039,0.0392163325813967,0.215754257953794,0.0874292091648678,401,356
2,track_to_track_ci,28,True,3.2,False,,42.11356900721188,3.5530574026784176,0.2815503207583602,10.782488203784974,3.4246805112434524,0.3016139389099767,0.2691768009069559,0.425875154357666,0.2675915500481499,401,337
2,baseline_geometric,28,True,,False,,,2.966568849419207,0.080602888247671,6.834455732738464,2.8832835538172263,2.966568849419207,0.080602888247671,6.834455732738464,2.8832835538172263,401,401
2,fusion,29,True,2.2,False,,48.93570238529713,0.3202234739757548,0.18430522263205,0.5852403732107015,0.3068871603483271,0.2681521413281197,0.146988272577929,0.5337630491561707,0.2538256441135978,401,357
2,rf_only,29,False,,False,,100.58140202798816,6.856848613845875,6.153363313965306,10.250482759089564,1.914132966144254,6.856848613845875,6.153363313965306,10.250482759089564,1.914132966144254,401,381
2,camera_only,29,True,2.1,False,,2.823789871907744,0.5915729997431299,0.0468007489530457,0.674629243025025,0.5704541519423413,0.1581567834140099,0.0441655291015353,0.426867830708146,0.1532027881846259,401,359
2,track_to_track_ci,29,True,3.2,False,,46.41360817396939,0.7637920293471349,0.3009029729910396,1.287283713126207,0.725347819803136,0.3089507480321801,0.2782631031678578,0.4342805314977275,0.2760587976131692,401,337
2,baseline_geometric,29,True,,False,,,2.857768605808057,0.087760956049467,6.956283092085393,2.776235166899841,2.857768605808057,0.087760956049467,6.956283092085393,2.776235166899841,401,401
2,fusion,3,True,2.2666666666666666,False,,47.18329440590944,0.5884981110843519,0.1586416736137129,0.6173802555713792,0.5680487599201174,0.2578682292998212,0.1444523638233002,0.4517034696780708,0.2405794711615071,401,355
2,rf_only,3,False,,False,,101.45056124746002,6.864241687638167,6.162298882397694,10.28322807838289,1.9404499461716496,6.864241687638167,6.162298882397694,10.28322807838289,1.9404499461716496,401,381
2,camera_only,3,True,2.2333333333333334,False,,3.217301572139406,2.230980817745221,0.0471177472501158,6.680182017496432,2.1656270130312336,0.1072454245327483,0.043782188979762,0.2202167195271558,0.0994452010538433,401,356
2,track_to_track_ci,3,True,3.2,False,,41.26626473520641,2.845890333963802,0.2816985632208659,8.42959748977712,2.747008752702644,0.2784431857872471,0.2579510506262191,0.3992927345574812,0.239964519465081,401,337
2,baseline_geometric,3,True,,False,,,2.4310355075979184,0.0823905940343135,6.097868492395097,2.359790930011126,2.4310355075979184,0.0823905940343135,6.097868492395097,2.359790930011126,401,401
2,fusion,4,True,2.1666666666666665,False,,48.14747102861841,0.3528938473571777,0.1999472428502271,0.573436110355796,0.3359998606443931,0.2751994567116036,0.1835645800160539,0.4967663958520306,0.2573514700992343,401,357
2,rf_only,4,False,,False,,104.46208401604764,6.858407470232195,6.279164547569042,10.267776902480772,1.919709667895572,6.858407470232195,6.279164547569042,10.267776902480772,1.919709667895572,401,381
2,camera_only,4,True,2.0666666666666664,False,,2.538143479536485,0.7658388245522907,0.0423852350379306,1.0173043394939671,0.7415607715633828,0.0947303955370624,0.0403576709826915,0.2143442236746932,0.0868490742457026,401,359
2,track_to_track_ci,4,True,3.25,False,,52.91068548985792,1.0013703042039013,0.3380816260266485,2.149806605748936,0.965025470515068,0.4463070531486334,0.3223507106716617,0.9762937106764646,0.4239884455897131,401,336
2,baseline_geometric,4,True,,False,,,2.586077347944734,0.0803525519655212,6.959570381705183,2.5105434206107757,2.586077347944734,0.0803525519655212,6.959570381705183,2.5105434206107757,401,401
