scenario_id,repetition,sensor_mode,pearson_r,p_value
1,7,fusion,0.5908504436863846,0.0077252325351346
1,7,track_to_track_ci,0.3571648451388854,0.1333085938200866
1,8,fusion,0.6357351672573324,0.0034392742439286
1,8,track_to_track_ci,0.3925891896942449,0.0963897055061514
1,9,fusion,0.519152785710729,0.022738895838931
1,9,track_to_track_ci,0.3616220410721023,0.1281873776578926
2,0,fusion,0.229333224837346,0.3449413673883986
2,0,track_to_track_ci,0.3293450773618482,0.1685436178640899
2,1,fusion,-0.0304373537214839,0.901557374203373
2,1,track_to_track_ci,0.315984016899521,0.1875347764127611
2,10,fusion,0.0039808778766224,0.9870954413580832
2,10,track_to_track_ci,0.3261442517289814,0.1729685992850421
2,11,fusion,0.0282452861183929,0.9086177656204232
2,11,track_to_track_ci,0.2961637484298275,0.21826309483208
2,12,fusion,0.1440010600112524,0.5564301493224746
2,12,track_to_track_ci,0.3267170143564515,0.1721710495671321
2,13,fusion,-0.0071367154508662,0.9768673924259432
2,13,track_to_track_ci,0.2848614581021425,0.2371759670599234
2,14,fusion,0.0223327736585034,0.9276925832517364
2,14,track_to_track_ci,0.261614677251101,0.2792888956576569
2,15,fusion,0.0719067898183992,0.7698781436498321
2,15,track_to_track_ci,0.2851944395822487,0.2366042069121882
2,16,fusion,0.1885831888059462,0.439412320172049
2,16,track_to_track_ci,0.3057193706707292,0.2030634638820746
2,17,fusion,0.2044997388086291,0.4010168097813119
2,17,track_to_track_ci,0.1958708091767316,0.4215999427423155
2,18,fusion,0.0749137871825277,0.7605173760117201
2,18,track_to_track_ci,0.2985650264171252,0.2143756398579679
2,19,fusion,-0.0234012796768411,0.9242423017592132
2,19,track_to_track_ci,0.1929105064688661,0.4287886054400654
2,2,fusion,0.1545131513983592,0.5276518249077403
2,2,track_to_track_ci,0.3342532758738205,0.1619092246366753
2,20,fusion,0.1910025573835615,0.433455858359546
2,20,track_to_track_ci,0.3217706432029013,0.1791414376314988
2,21,fusion,0.1528357510028496,0.5321972359286259
2,21,track_to_track_ci,0.3231088179720967,0.1772371906616483
2,22,fusion,0.0310157080540744,0.8996957210819551
2,22,track_to_track_ci,0.3167430808516562,0.1864190238504451
2,23,fusion,0.016567520559993,0.9463288295589336
2,23,track_to_track_ci,0.2453337776465741,0.3113629049838139
2,24,fusion,0.041388869280914,0.8663997126508024
2,24,track_to_track_ci,0.2034669492571489,0.4034510473768457
2,25,fusion,0.1172222620853929,0.6327036693461942
2,25,track_to_track_ci,0.3164447327423996,0.1868570347972956
2,26,fusion,0.1802793354957938,0.460177175449516
2,26,track_to_track_ci,0.3219371504259148,0.1789037453741715
2,27,fusion,0.2831814819462823,0.2400741572270395
2,27,track_to_track_ci,0.3311867416549818,0.1660328931858471
2,28,fusion,0.0702610440755502,0.7750143611896588
2,28,track_to_track_ci,0.257042276844423,0.2880823682889981
2,29,fusion,0.0888055470984417,0.7177028995972099
2,29,track_to_track_ci,0.2606027946173058,0.2812204620035949
2,3,fusion,0.1285789343569669,0.5998616311194916
2,3,track_to_track_ci,0.2840811036268499,0.2385193798203249
2,4,fusion,0.1451878156179445,0.5531467759314137
2,4,track_to_track_ci,0.291545008772841,0.2258690536039903
2,5,fusion,-0.1199765308830404,0.6246749632644566
2,5,track_to_track_ci,0.2966976360730953,0.2173948287796324
2,6,fusion,0.1276087803178809,0.602639644207566
2,6,track_to_track_ci,0.3194262358218367,0.1825107812072084
2,7,fusion,-0.0271165747093593,0.912255804521769
2,7,track_to_track_ci,0.3198285984242446,0.1819295015195225
2,8,fusion,0.3200045445051768,0.1816757105503709
2,8,track_to_track_ci,0.3381637534810984,0.1567532743139883
2,9,fusion,0.163499847197911,0.503610661891551
2,9,track_to_track_ci,0.1907055017188063,0.4341849126655948
3,0,fusion,0.3220196608873963,0.1787860390827718
3,0,track_to_track_ci,0.3568580340971761,0.1336663220235535
3,1,fusion,0.4726854514521764,0.0409778456149852
3,1,track_to_track_ci,0.3952009900881126,0.0939988203846703
3,10,fusion,0.2258989407974409,0.3524116180955491
3,10,track_to_track_ci,0.4237311607074486,0.0706233070849651
3,11,fusion,0.4783882578800562,0.0382745730545099
3,11,track_to_track_ci,0.3467745722542613,0.1458012130254935
3,12,fusion,0.3539840711510802,0.1370500271305535
3,12,track_to_track_ci,0.3804414010263685,0.1080928396300698
3,13,fusion,0.3629129522006349,0.1267304584981486
3,13,track_to_track_ci,0.4136356893858067,0.0783359593352754
3,14,fusion,0.3731625598577113,0.1155761652247557
3,14,track_to_track_ci,0.3915284256612433,0.0973732509573787
3,15,fusion,0.4051520429640121,0.0852842743815611
3,15,track_to_track_ci,0.4137610556813954,0.0782365227409008
3,16,fusion,0.362689187342636,0.1269821564506109
3,16,track_to_track_ci,0.3943497871158277,0.0947732311510187
3,17,fusion,0.3060288327496447,0.2025832489762878
3,17,track_to_track_ci,0.4147197030088589,0.0774792351206269
3,18,fusion,0.3557248683079264,0.1349933881859458
3,18,track_to_track_ci,0.3945932592858067,0.0945512518275066
3,19,fusion,0.3387985493267755,0.1559270950549664
3,19,track_to_track_ci,0.4122390648182326,0.0794500417907888
3,2,fusion,0.3325161964991164,0.1642364167904315
3,2,track_to_track_ci,0.3714907128898982,0.1173459193370201
3,20,fusion,0.329305241303056,0.168598210261387
3,20,track_to_track_ci,0.4283635731372438,0.0672799931937092
3,21,fusion,0.3434096870376402,0.1500157145185376
3,21,track_to_track_ci,0.3823072978236008,0.1062319727819945
3,22,fusion,0.3838397294128558,0.1047210104750407
3,22,track_to_track_ci,0.387968456967971,0.1007273143841634
3,23,fusion,0.3738174147162829,0.1148881816575998
